answer_id,question_id,question_iter,answer_text,answer_value,logic,questionnaire_unique_id,answer_image
Q001A1,Q001,1,Male,1,addition,37ceeca6-60a6-4bf3-950c-32e9575c8eef,
Q001A1,Q001,1,Male,1,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q002A2,Q002,2,12-19,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q003A1,Q003,3,Yes,0,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q004A2,Q004,4,Retail/Hospitality/Duty Manager,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q005A3,Q005,5,9-12 hours,3,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q006A3,Q006,6,7500-9999 steps (Somewhat active),3,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q007A3,Q007,7,"Moderate (brisk walking, recreational swimming, social tennis)",3,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q008A3,Q008,8,I exercise at least once a week,1,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q009A3,Q009,9,Runners (Adidas/Nike),3,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q010A1,Q010,10,Worn from Inside,1,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q011A2,Q011,11,Option 2,2,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q012A2,Q012,12,UK 6-7,2,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q013A2,Q013,13,8-10 stone (50-63kg),2,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q014A3,Q014,14,Father,5,multiply,95c61877-313d-4102-b281-3d0a3c27dcad,
Q015A4,Q015,15,Grandfather,3,multiply,95c61877-313d-4102-b281-3d0a3c27dcad,
Q017A3,Q017,16,Father,5,multiply,95c61877-313d-4102-b281-3d0a3c27dcad,
Q018A2,Q018,17,Mother,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q019A3,Q019,18,Mild flat foot (Mild pes planus),2,multiply,95c61877-313d-4102-b281-3d0a3c27dcad,
Q020A2,Q020,19,Sore feet,2,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q021A1,Q021,20,Yes,2,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q022A2,Q022,21,Bunion/Hallux Valgus,2,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q023,22,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q024,23,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q025,24,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q023,22,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q024,23,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q025,24,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q023,22,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q024,23,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q023A1,Q025,24,Yes,5,addition,95c61877-313d-4102-b281-3d0a3c27dcad,
Q001A1,Q001,1,Male,1,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q002A2,Q002,2,12-19,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q003A1,Q003,3,Yes,0,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q004A2,Q004,4,Retail/Hospitality/Duty Manager,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q005A3,Q005,5,9-12 hours,3,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q006A3,Q006,6,7500-9999 steps (Somewhat active),3,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q007A3,Q007,7,"Moderate (brisk walking, recreational swimming, social tennis)",3,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q008A3,Q008,8,I exercise at least once a week,1,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q009A3,Q009,9,Runners (Adidas/Nike),3,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q010A1,Q010,10,Worn from Inside,1,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q011A2,Q011,11,Option 2,2,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q012A2,Q012,12,UK 6-7,2,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q013A2,Q013,13,8-10 stone (50-63kg),2,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q014A3,Q014,14,Father,5,multiply,85435118-154b-4f8c-a22f-dd315319b4b3,
Q015A4,Q015,15,Grandfather,3,multiply,85435118-154b-4f8c-a22f-dd315319b4b3,
Q017A3,Q017,16,Father,5,multiply,85435118-154b-4f8c-a22f-dd315319b4b3,
Q018A2,Q018,17,Mother,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q019A3,Q019,18,Mild flat foot (Mild pes planus),2,multiply,85435118-154b-4f8c-a22f-dd315319b4b3,
Q020A2,Q020,19,Sore feet,2,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q021A1,Q021,20,Yes,2,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q022A2,Q022,21,Bunion/Hallux Valgus,2,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q023,22,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q024,23,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q025,24,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q023,22,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q024,23,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q025,24,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q023,22,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q024,23,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q023A1,Q025,24,Yes,5,addition,85435118-154b-4f8c-a22f-dd315319b4b3,
Q001A1,Q001,1,Male,1,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q002A1,Q002,2,Under 12,6,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q003A1,Q003,3,Yes,0,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q004A4,Q004,4,Teacher/Education,3,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q005A3,Q005,5,9-12 hours,3,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q006A4,Q006,6,10000-12499 steps (Active),3,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q007A4,Q007,7,"Vigorous (competitive sports, jogging, aerobic exercise, weight lifting",4,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q008A5,Q008,8,I exercise at least five times a week,3,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q009A4,Q009,9,Runners (Brooks/Asics),4,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q010A2,Q010,10,Worn from Outside,2,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q011A2,Q011,11,Option 2,2,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q012A2,Q012,12,UK 6-7,2,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q013A2,Q013,13,8-10 stone (50-63kg),2,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q014A2,Q014,14,Mother,5,multiply,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q015A2,Q015,15,Mother,5,multiply,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q017A2,Q017,16,Mother,5,multiply,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q018A2,Q018,17,Mother,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q019A2,Q019,18,Middle of the road arch (Subtle pes cavus),1,multiply,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q020A1,Q020,19,Heel Pain,1,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q021A1,Q021,20,Yes,2,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q022A1,Q022,21,Hammer toe/mallet toe,1,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q023,22,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q024,23,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q025,24,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q023,22,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q024,23,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q025,24,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q023,22,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q024,23,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q023A1,Q025,24,Yes,5,addition,bb8ec73c-5c68-4a0c-ac67-12b349d6a528,
Q001A1,Q001,1,Male,1,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q002A1,Q002,2,Under 12,6,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q003A1,Q003,3,Yes,0,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q004A1,Q004,4,Office Work,6,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q005A1,Q005,5,1-4 hours,1,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q006A1,Q006,6,2500-4999 steps (Staionary with limited activity),1,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q007A3,Q007,7,"Moderate (brisk walking, recreational swimming, social tennis)",3,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q008A4,Q008,8,I exercise at least three times a week,2,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q009A4,Q009,9,Runners (Brooks/Asics),4,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q010A2,Q010,10,Worn from Outside,2,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q011A1,Q011,11,Option 1,1,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q012A3,Q012,12,UK 8-9,3,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q013A1,Q013,13,Less than 8 stone (less than 50kg),1,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q014A2,Q014,14,Mother,5,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q015A3,Q015,15,Father,5,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q017A1,Q017,16,Yourself,6,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q018A1,Q018,17,Yourself,6,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q019A2,Q019,18,Middle of the road arch (Subtle pes cavus),1,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q020A2,Q020,19,Sore feet,2,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q021A1,Q021,20,Yes,2,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q022A1,Q022,21,Hammer toe/mallet toe,1,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q023,22,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q024,23,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q025,24,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q023,22,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q024,23,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q025,24,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q023,22,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q024,23,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q025,24,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q001A2,Q001,1,Female,1,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q002A2,Q002,2,12-19,5,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q003A1,Q003,3,Yes,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q004A2,Q004,4,Retail/Hospitality/Duty Manager,5,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q005A3,Q005,5,9-12 hours,3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q006A4,Q006,6,10000-12499 steps (Active),3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q007A4,Q007,7,"Vigorous (competitive sports, jogging, aerobic exercise, weight lifting",4,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q008A5,Q008,8,I exercise at least five times a week,3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q009A3,Q009,9,Runners (Adidas/Nike),3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,../static/runnerssuchasadidasornike.png
Q010A1,Q010,10,Worn from Inside,1,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,../static/wornfrominside.png
Q011A3,Q011,11,I don't suffer from Calluses,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q012A3,Q012,12,UK 8-9,3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q013A3,Q013,13,11-13 stone (69-82kg),3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q014A3,Q014,14,Father,5,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q015A3,Q015,15,Father,5,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q017A1,Q017,16,Yourself,6,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q018A1,Q018,17,Yourself,6,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q019A1,Q019,18,Severe high arch (Severe pes cavus),1,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,../static/severehigharch.png
Q020A1,Q020,19,Heel Pain,1,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q021A1,Q021,20,Yes,2,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q022A4,Q022,21,No history of the following medical conditions,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q023,22,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q024,23,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q025,24,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q023,22,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q024,23,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q025,24,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q023,22,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q024,23,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q025,24,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q001A2,Q001,1,Female,1,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q002A3,Q002,2,20-29,4,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q003A2,Q003,3,No,0,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q004A4,Q004,4,Teacher/Education,3,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q005A2,Q005,5,5-8 hours,2,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q006A4,Q006,6,10000-12499 steps (Active),3,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q007A4,Q007,7,"Vigorous (competitive sports, jogging, aerobic exercise, weight lifting",4,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q008A6,Q008,8,I exercise everday,3,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q009A1,Q009,9,Workboots,1,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,../static/workboots.png
Q010A1,Q010,10,Worn from Inside,1,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,../static/wornfrominside.png
Q011A1,Q011,11,Option 1,1,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,../static/option1.png
Q012A5,Q012,12,UK 12-13,5,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q013A5,Q013,13,18+ stone (114kg),5,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q014A6,Q014,14,Aunt or Uncle,2,multiply,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q015A1,Q015,15,Yourself,6,multiply,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q017A1,Q017,16,Yourself,6,multiply,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q018A2,Q018,17,Mother,5,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q019A1,Q019,18,Severe high arch (Severe pes cavus),1,multiply,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,../static/severehigharch.png
Q020A3,Q020,19,Achilles tendon pain,3,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q021A2,Q021,20,No,1,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q022A3,Q022,21,Tailor bunion (bunionette),3,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,../static/tailorbunionbunionette.png
Q023A2,Q023,22,No,0,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A2,Q024,23,No,0,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A2,Q025,24,No,0,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A1,Q023,22,Yes,5,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A1,Q024,23,Yes,5,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A1,Q025,24,Yes,5,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A2,Q023,22,No,0,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A2,Q024,23,No,0,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q023A2,Q025,24,No,0,addition,7c46a4b5-5fef-4b8f-a0bc-348dd7ce081e,No Image
Q001A1,Q001,1,Male,1,addition,ee218b9e-e9ac-43cf-af50-8ec1aca1f420,No Image
Q002A2,Q002,2,12-19,5,addition,ee218b9e-e9ac-43cf-af50-8ec1aca1f420,No Image
Q003A1,Q003,3,Yes,0,addition,ee218b9e-e9ac-43cf-af50-8ec1aca1f420,No Image
Q004A1,Q004,4,Office Work,6,addition,ee218b9e-e9ac-43cf-af50-8ec1aca1f420,No Image
Q005A2,Q005,5,5-8 hours,2,addition,ee218b9e-e9ac-43cf-af50-8ec1aca1f420,No Image
